"trial","word","ink","cond","corr","rt","ID","coat","wordRepeat","inkRepeat","AGCond","LastCond","location"
1,"BLUE","blue","congruent",1,600.815798622,101,"y","n","n","Neu",NA,3
2,"BLUE","red","incongruent",1,333.619060926,101,"y","y","n","Inc","Neu",3
3,"BLUE","red","incongruent",1,350.514405873,101,"y","y","y","Inc","Inc",3
4,"BLUE","blue","congruent",1,400.359939784,101,"y","y","n","Neu","Inc",3
5,"XXXX","blue","neutral",1,417.503264267,101,"y","n","y","Neu","Neu",3
6,"BLUE","blue","congruent",1,383.536775131,101,"y","n","y","Neu","Neu",3
7,"RED","red","congruent",1,500.360581558,101,"y","n","n","Neu","Neu",3
8,"BLUE","red","incongruent",1,484.805867076,101,"y","n","y","Inc","Neu",3
9,"RED","red","congruent",1,466.894863639,101,"y","n","y","Neu","Inc",3
10,"BLUE","blue","congruent",1,450.464360416,101,"y","n","n","Neu","Neu",3
11,"RED","blue","incongruent",0,433.670389,101,"y","n","y","Inc","Neu",3
12,"XXXX","blue","neutral",1,500.301553402,101,"y","n","y","Neu","Inc",3
13,"XXXX","red","neutral",1,467.68660238,101,"y","y","n","Neu","Neu",3
14,"XXXX","red","neutral",1,583.622429054,101,"y","y","y","Neu","Neu",3
15,"BLUE","blue","congruent",1,534.150950145,101,"y","n","n","Neu","Neu",3
16,"BLUE","blue","congruent",1,417.944686953,101,"y","y","y","Neu","Neu",3
17,"BLUE","blue","congruent",1,450.600700919,101,"y","y","y","Neu","Neu",3
18,"XXXX","red","neutral",1,500.092070084,101,"y","n","n","Neu","Neu",3
19,"XXXX","red","neutral",1,433.973867912,101,"y","y","y","Neu","Neu",3
20,"XXXX","blue","neutral",1,484.085346106,101,"y","y","n","Neu","Neu",3
21,"BLUE","blue","congruent",1,450.702074915,101,"y","n","y","Neu","Neu",3
22,"RED","blue","incongruent",0,500.721162185,101,"y","n","y","Inc","Neu",3
23,"RED","red","congruent",1,500.286475755,101,"y","y","n","Neu","Inc",3
24,"BLUE","blue","congruent",1,433.903611731,101,"y","n","n","Neu","Neu",3
25,"XXXX","blue","neutral",1,416.243475862,101,"y","n","y","Neu","Neu",3
26,"RED","blue","incongruent",1,567.161129322,101,"y","n","y","Inc","Neu",3
27,"XXXX","blue","neutral",1,516.123816837,101,"y","n","y","Neu","Inc",3
28,"RED","blue","incongruent",1,400.156551041,101,"y","n","y","Inc","Neu",3
29,"RED","blue","incongruent",1,366.872407496,101,"y","y","y","Inc","Inc",3
30,"XXXX","blue","neutral",1,317.723654676,101,"y","n","y","Neu","Inc",3
31,"RED","blue","incongruent",1,250.195849687,101,"y","n","y","Inc","Neu",3
32,"RED","red","congruent",1,367.681790609,101,"y","y","n","Neu","Inc",3
